step,price,momentum,volatility
1,0.990175,-0.009825,0.004425
2,0.981847,-0.008411,0.004368
3,0.976997,-0.004940,0.009103
4,0.969129,-0.008053,0.003578
5,0.962191,-0.007159,0.002996
6,0.956449,-0.005968,0.003855
7,0.948191,-0.008634,0.006733
8,0.943014,-0.005460,0.002384
9,0.939278,-0.003961,0.003766
10,0.937305,-0.002101,0.005762
11,0.930617,-0.007136,0.007075
12,0.926051,-0.004906,0.004007
13,0.920446,-0.006052,0.006678
14,0.920681,0.000255,0.005100
15,0.920571,-0.000119,0.003297
16,0.916174,-0.004776,0.006675
17,0.919200,0.003302,0.006780
18,0.922617,0.003718,0.006321
19,0.924266,0.001787,0.002316
20,0.926147,0.002036,0.002016
21,0.925153,-0.001073,0.005325
22,0.923620,-0.001658,0.007485
23,0.926395,0.003005,0.001497
24,0.926219,-0.000190,0.007323
25,0.927525,0.001411,0.005769
26,0.929733,0.002380,0.005287
27,0.930886,0.001241,0.008391
28,0.935789,0.005267,0.002713
29,0.941063,0.005635,0.003253
30,0.949914,0.009406,0.007324
31,0.956920,0.007375,0.003149
32,0.965437,0.008900,0.005019
33,0.973480,0.008332,0.003336
34,0.983399,0.010188,0.005765
35,0.992351,0.009103,0.004358
36,1.000513,0.008225,0.007017
37,0.994491,-0.006019,0.010768
38,0.989042,-0.005479,0.010519
39,0.982943,-0.006167,0.008182
40,0.976386,-0.006671,0.006160
41,0.967349,-0.009256,0.005623
42,0.958270,-0.009385,0.006565
43,0.950265,-0.008354,0.005536
44,0.941190,-0.009549,0.008289
45,0.937966,-0.003425,0.005844
46,0.932529,-0.005797,0.003355
47,0.930970,-0.001672,0.006491
48,0.926505,-0.004797,0.003099
49,0.926811,0.000331,0.007563
50,0.926812,0.000001,0.005835
51,0.921049,-0.006218,0.007681
52,0.917375,-0.003989,0.004615
53,0.919367,0.002171,0.006024
54,0.918635,-0.000796,0.000630
55,0.922165,0.003843,0.006533
56,0.921921,-0.000265,0.001617
57,0.919796,-0.002305,0.006251
58,0.922282,0.002702,0.002427
59,0.926386,0.004450,0.004677
60,0.927254,0.000936,0.004242
61,0.927282,0.000030,0.006948
62,0.929646,0.002550,0.003832
63,0.937229,0.008157,0.008089
64,0.943850,0.007064,0.005509
65,0.946209,0.002499,0.007418
66,0.950072,0.004082,0.005894
67,0.953373,0.003475,0.008092
68,0.956902,0.003701,0.008874
69,0.966618,0.010154,0.007151
70,0.972181,0.005755,0.007717
71,0.981284,0.009363,0.004362
72,0.990139,0.009024,0.004493
73,0.997590,0.007525,0.008207
74,0.989465,-0.008145,0.007154
75,0.977199,-0.012397,0.008797
76,0.969636,-0.007739,0.005510
77,0.958581,-0.011401,0.008549
78,0.950518,-0.008412,0.004189
79,0.941469,-0.009519,0.006794
80,0.933459,-0.008508,0.005797
81,0.931271,-0.002344,0.008849
82,0.928358,-0.003128,0.006349
83,0.922262,-0.006567,0.004664
84,0.921002,-0.001366,0.007012
85,0.915289,-0.006203,0.005490
86,0.911464,-0.004179,0.002771
87,0.911516,0.000057,0.005931
88,0.910525,-0.001088,0.002818
89,0.906096,-0.004864,0.006102
90,0.908636,0.002803,0.007099
91,0.906047,-0.002850,0.004122
92,0.904295,-0.001934,0.003287
93,0.906770,0.002737,0.003931
94,0.906537,-0.000257,0.002771
95,0.906570,0.000037,0.003437
96,0.905491,-0.001191,0.006691
97,0.905037,-0.000501,0.006686
98,0.908653,0.003995,0.002459
99,0.910319,0.001833,0.005051
100,0.915102,0.005255,0.003155
101,0.918738,0.003974,0.003745
102,0.923499,0.005181,0.002859
103,0.932534,0.009784,0.008689
104,0.938630,0.006536,0.002888
105,0.945969,0.007819,0.003903
106,0.956100,0.010710,0.008096
107,0.961641,0.005796,0.007647
108,0.967529,0.006122,0.008259
109,0.979828,0.012712,0.009332
110,0.992117,0.012542,0.008322
111,0.980208,-0.012004,0.007407
112,0.968518,-0.011926,0.007996
113,0.961764,-0.006973,0.006812
114,0.957138,-0.004810,0.009323
115,0.947370,-0.010205,0.007237
116,0.943939,-0.003621,0.009011
117,0.940533,-0.003609,0.007864
118,0.935564,-0.005283,0.003853
119,0.929778,-0.006184,0.003290
120,0.922183,-0.008169,0.007388
121,0.914681,-0.008135,0.008052
122,0.914510,-0.000187,0.007848
123,0.909547,-0.005426,0.004891
124,0.908509,-0.001141,0.003893
125,0.904724,-0.004166,0.004194
126,0.905559,0.000923,0.005069
127,0.905252,-0.000339,0.001756
128,0.903253,-0.002208,0.003032
129,0.900908,-0.002597,0.004414
130,0.902996,0.002318,0.003219
131,0.900885,-0.002339,0.006309
132,0.900429,-0.000506,0.004360
133,0.902857,0.002697,0.001696
134,0.907911,0.005597,0.005904
135,0.911767,0.004248,0.002888
136,0.913710,0.002131,0.004545
137,0.920821,0.007783,0.007454
138,0.923245,0.002632,0.006026
139,0.924803,0.001688,0.008797
140,0.928747,0.004265,0.005583
141,0.934536,0.006232,0.003405
142,0.937999,0.003706,0.008867
143,0.942865,0.005188,0.007514
144,0.949733,0.007284,0.005118
145,0.958723,0.009466,0.004537
146,0.964952,0.006497,0.008788
147,0.973537,0.008897,0.005875
148,0.966847,-0.006872,0.009317
149,0.961432,-0.005600,0.010312
150,0.954093,-0.007633,0.005690
151,0.947602,-0.006804,0.005934
152,0.940871,-0.007102,0.004259
153,0.931369,-0.010099,0.007780
154,0.921696,-0.010386,0.008990
155,0.912509,-0.009968,0.009001
156,0.910434,-0.002274,0.007801
157,0.907345,-0.003392,0.004733
158,0.906672,-0.000742,0.008071
159,0.899673,-0.007719,0.008066
160,0.897655,-0.002244,0.003185
161,0.895033,-0.002920,0.001353
162,0.894695,-0.000378,0.004024
163,0.891908,-0.003115,0.003130
164,0.894480,0.002884,0.007236
165,0.890943,-0.003953,0.005999
166,0.891272,0.000369,0.000627
167,0.893457,0.002452,0.003445
168,0.897310,0.004313,0.005887
169,0.900508,0.003563,0.003891
170,0.903976,0.003852,0.003659
171,0.908608,0.005124,0.005100
172,0.914653,0.006653,0.006977
173,0.917126,0.002704,0.003571
174,0.922561,0.005926,0.004296
175,0.930132,0.008207,0.007451
176,0.938061,0.008524,0.007269
177,0.943171,0.005448,0.003571
178,0.951651,0.008991,0.006618
179,0.961292,0.010130,0.007832
180,0.969328,0.008360,0.004101
181,0.978375,0.009333,0.005033
182,0.986151,0.007948,0.005156
183,0.996117,0.010106,0.004902
184,1.006945,0.010871,0.005481
185,0.993494,-0.013358,0.009709
186,0.985219,-0.008329,0.005674
187,0.980350,-0.004942,0.010265
188,0.975159,-0.005295,0.008499
189,0.969355,-0.005952,0.006215
190,0.961489,-0.008115,0.004406
191,0.956887,-0.004786,0.005863
192,0.951659,-0.005463,0.003545
193,0.945919,-0.006031,0.003031
194,0.943750,-0.002293,0.006602
195,0.936413,-0.007774,0.007438
196,0.934646,-0.001887,0.004958
197,0.928014,-0.007095,0.007728
198,0.926189,-0.001967,0.002489
199,0.923989,-0.002375,0.001148
200,0.920455,-0.003825,0.004336
201,0.920893,0.000476,0.003142
202,0.920361,-0.000578,0.000260
203,0.921204,0.000916,0.001557
204,0.924814,0.003919,0.005941
205,0.924036,-0.000842,0.003765
206,0.921963,-0.002243,0.007313
207,0.922544,0.000630,0.003595
208,0.926422,0.004203,0.003534
209,0.927305,0.000954,0.005378
